date,Blockchain,Cardano,Ethereum,isPartial
2021-09-12,3,36,27,False
2021-09-19,4,31,26,False
2021-09-26,4,21,23,False
2021-10-03,4,21,29,False
2021-10-10,5,16,28,False
2021-10-17,4,22,38,False
2021-10-24,4,18,33,False
2021-10-31,5,17,34,False
2021-11-07,6,21,39,False
2021-11-14,6,15,32,False
2021-11-21,5,18,28,False
2021-11-28,5,18,36,False
2021-12-05,5,18,31,False
2021-12-12,4,12,26,False
2021-12-19,5,14,21,False
2021-12-26,4,16,25,False
2022-01-02,6,13,34,False
2022-01-09,6,13,28,False
2022-01-16,5,22,27,False
2022-01-23,6,17,36,False
2022-01-30,7,14,29,False
2022-02-06,4,13,28,False
2022-02-13,5,12,23,False
2022-02-20,5,14,29,False
2022-02-27,4,10,25,False
2022-03-06,4,10,19,False
2022-03-13,4,8,16,False
2022-03-20,6,17,20,False
2022-03-27,4,14,22,False
2022-04-03,5,13,17,False
2022-04-10,4,11,16,False
2022-04-17,5,10,13,False
2022-04-24,5,8,14,False
2022-05-01,4,11,14,False
2022-05-08,5,13,26,False
2022-05-15,4,10,14,False
2022-05-22,4,8,16,False
2022-05-29,3,11,15,False
2022-06-05,4,12,14,False
2022-06-12,4,13,37,False
2022-06-19,4,9,24,False
2022-06-26,3,8,20,False
2022-07-03,3,7,17,False
2022-07-10,3,8,16,False
2022-07-17,3,8,26,False
2022-07-24,3,10,21,False
2022-07-31,3,7,19,False
2022-08-07,3,9,26,False
2022-08-14,3,10,20,False
2022-08-21,2,8,20,False
2022-08-28,3,6,18,False
2022-09-04,3,9,19,False
2022-09-11,3,8,38,False
2022-09-18,4,9,20,False
2022-09-25,3,7,16,False
2022-10-02,3,7,13,False
2022-10-09,3,7,11,False
2022-10-16,3,6,11,False
2022-10-23,3,8,16,False
2022-10-30,3,7,16,False
2022-11-06,4,7,22,False
2022-11-13,3,7,19,False
2022-11-20,3,6,14,False
2022-11-27,3,5,12,False
2022-12-04,3,4,10,False
2022-12-11,3,6,13,False
2022-12-18,3,6,10,False
2022-12-25,3,5,9,False
2023-01-01,3,6,10,False
2023-01-08,4,9,14,False
2023-01-15,3,9,19,False
2023-01-22,3,8,15,False
2023-01-29,3,8,14,False
2023-02-05,3,7,12,False
2023-02-12,2,7,12,True
